"y_lag1","kilian_lag1","delta_stock_lag1","cpi_lag1","prod_lag1"
3.11,13.1998858,-23.076,0.00165152803847324,-0.0101293498948074
3.49,1.3937545,40.174,0.00439078641749013,0.0287950504918371
2.88,-1.5676856,-28.377,0.00546151002552175,-0.0645032673443726
-2.32,9.9998293,73.382,0.00163265342388552,0.126616897846562
-5.34,11.493517,-21.651,-0.00381367937024546,-0.00824793410412283
-0.0600000000000023,8.110424,-6.691,-0.00163889684321017,0.0268396162521327
2.55,-4.294661,18.36,0.00109289628364451,-0.0601450359766815
0.100000000000001,2.426918,21.038,0.00327154054061563,0.0258192865210898
0.809999999999999,3.930501,-25.423,0.00434547125950147,0.0148945791405453
-3.26,7.299107,5.172,0.00324675609887048,-0.035277086892533
2.03,52.759821,35.777,-0.00108108118637329,0.0440276834302953
0.77,2.180356,-30.053,0.000540686685245539,-0.0362050184582863
1.02,8.00541999999999,14.214,0.00269905696916517,0.0467896966407189
2.18,12.3567,15.485,0.00430339556005332,-0.0172956659464596
0.379999999999995,4.09121,18.061,0.0021447729401336,-0.048320271614001
2.05,-6.07940000000001,63.466,0.00214018273236771,0.0634358909101831
0.00999999999999801,-13.36114,23.74,0.00160213652427732,-0.0382882452737885
3.53,-22.440645,30.48,0.00425985734695811,0.0319173750676196
-2.25,-21.647323,-7.563,0.00371254735618454,0.00497853168890039
2.75,26.439769,12.623,0.00105820115694755,0.039263177040926
4.12,9.961403,-5.418,0.000528680953365779,0.000621945295030457
1.04,-0.824385000000007,6.762,0.00316622955805013,-0.0470599570460024
7.34,8.817581,37.362,0.00525487283835879,0.0413616703469817
-4.81,15.36522,46.349,0.00470589103741226,-0.0242282609684192
-5.32,4.04544,-44.093,0,0.00495644393222783
3.69,-20.14918,19.559,-0.000521784514838863,0.00824141975379966
1.31,0.413619999999995,0.139,0.00416667269484616,-0.0885075838616167
6.04,2.97369,58.901,0.00363165120286268,0.110839074484367
-1.21,-3.31484,6.666,0.00310238097848181,-0.032218271509274
-3.15,-20.961178,36.068,-0.000516395570473449,0.0346883308472954
6.52,-28.69918,-10.54,0.000516395570473449,-0.0439322701344622
2.65,-21.824477,11.83,0.00617603610056427,0.036265286418784
5.99,-1.034992,-20.853,0.00613812668878566,0.00593848876356162
0.600000000000009,22.739956,-17.409,0.0136745610201734,-0.0614695621279537
-3.33000000000001,11.999483,31.401,0.00150791684767704,0.0355181096153068
-3.94,-7.397909,-21.483,-0.00503525736564558,-0.0363227554478787
1.09,-11.304009,-16.856,0,0.066162531981055
6.08,-14.364006,-4.869,0.0060392735142436,0.00385923495378115
-3.85999999999999,7.854631,18.721,0.000501630308988865,-0.101168411766995
1.06,6.164861,16.926,0.00150338289403162,0.0952293201214438
6.75,-5.626868,2.184,0.00499501538052272,-0.0331239145899236
1.40000000000001,-1.069823,18.997,0.00298507684345406,0.0199898921279846
0.109999999999999,10.625944,-9.368,0.00248077527376278,-0.0237010192333162
3.45999999999999,11.147042,8.561,0.00543613891225991,0.0399419521212696
-1.36999999999999,18.690693,-3.582,0.00442587395685567,-0.00777245378823288
-9.24000000000001,9.776414,-9.404,-0.00491884907159612,-0.0514991731370387
-4.91,0.338186999999991,32.489,-0.00444774639823642,0.0547068039836152
0.189999999999998,4.05968600000001,5.257,0.00049517208241312,-0.0407376527569774
2.88,3.048205,-53.496,0.00543077118513402,0.030402821770549
-7.45,2.86481999999999,-26.951,0.00165790605623251,0.0179600083694922
4.77,-1.66567999999999,5.488,0.00387084913353952,-0.089371198485118
1.16,14.9065,17.411,0.00518664749319964,0.0968820638559489
3.54,11.48201,15.098,0.00299616948199866,-0.0334876066828613
-0.519999999999996,10.4252,14.131,0.00412447665692373,0.027839920806116
4.02999999999999,-10.42446,3.842,0.002314072179459,-0.0333842089684602
6.63000000000001,12.96818,-14.929,0.001779012466681,0.0420929616954506
-1.76,9.19212000000002,-34.404,0.000308233200118302,-0.00943885115932019
7.56,17.27807,-28.782,0.00422860024543859,-0.02421830304562
5.88,19.40552,33.426,0.00307849440109909,0.0442219427335324
8.97,0.508849999999995,-15.166,0.00782816408287346,-0.0495996099807101
-3.08,-6.88172,-23.352,0.00289382340294875,0.0513233331822107
1.28,-31.97523,52.758,0.0034417753671736,0.00511613579419823
2.42,-4.29131000000001,5.161,0.00241490863745408,-0.0616600353984538
10.06,15.76291,57.543,0.00357164189274517,0.0645286389347888
7.13,2.67518999999999,27.087,0.00231170696550809,-0.0392375947200883
12.82,26.46852,2.624,0.00590005206812361,0.0316028166049982
8.47999999999999,-6.55846,-0.111,0.0104237187971661,-0.0271461990843189
-0.509999999999991,-14.21565,29.342,0.00711606539350473,0.0389441506033634
